01-02 09:31:01,549326 [INFOR] [userlog] 当前:2024-01-02 09:31:01 用户:cxh 登录成功
01-02 09:31:07,132572 [INFOR] [userlog] 当前:2024-01-02 09:31:07 用户:cxh 退出登录
01-02 09:31:12,454902 [INFOR] [userlog] 当前:2024-01-02 09:31:12 用户:wwh 登录成功
01-02 15:39:13,581827 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_riscv_little_endian.elf, id:271
01-02 15:39:13,581834 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:uVxWorks, id:270
01-02 15:39:13,581841 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_riscv_little_endian.bin, id:269
01-02 15:39:13,581848 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_arm_little-endian_nxp_raspberrypi4b.elf, id:268
01-02 15:39:13,581856 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:uVxWorks, id:267
01-02 15:39:13,581863 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_arm_little-endian_nxp_raspberrypi4b.bin, id:266
01-02 15:39:13,581870 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_arm_little-endian_nxp_lmx8.elf, id:265
01-02 15:39:13,581877 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_arm_little-endian_nxp_lmx8.bin, id:264
01-02 15:39:13,581884 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:uVxWorks, id:263
01-02 15:39:13,581938 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v6_mk68_bigendian.bin, id:262
01-02 15:39:13,581947 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks.elf, id:261
01-02 15:39:13,581955 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v5_mips_little-endian.bin, id:260
01-02 15:39:13,581962 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks.bin.symtab, id:259
01-02 15:39:13,581979 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v5_mips_bigendian.bin, id:258
01-02 15:39:13,581986 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks.symtab, id:257
01-02 15:39:13,581994 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:boot.img, id:256
01-02 15:39:13,582001 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_qemu.elf, id:234
01-02 15:39:13,582008 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_up2.elf, id:233
01-02 15:39:13,582015 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks, id:232
01-02 15:39:13,582022 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_qemu.bin, id:231
01-02 15:39:13,582029 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_up2.bin, id:230
01-02 15:39:13,582036 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:bileiqi_monitor, id:220
01-02 15:39:13,582044 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:SCM6JIZHONG.hex, id:219
01-02 15:39:13,582051 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:CC2530_Card.hex, id:217
01-02 15:39:13,582058 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:ArresterOnLine.hex, id:216
01-02 15:39:13,582065 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:M-20140708.hex, id:218
01-02 15:39:20,508332 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:机械特性采集程序, id:215
01-02 15:39:20,508356 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:VDR-308_Ramdisk.zip, id:214
01-02 15:39:20,508362 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:bios_disk.img, id:211
01-02 15:39:20,508367 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:H1GA-14C204-BD.vbf, id:210
01-02 15:39:20,508372 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:H1GA-14C204-BC.vbf, id:209
01-02 15:39:20,508378 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:H1GA-14C204-BB.vbf, id:208
01-02 15:39:20,508384 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:H1GA-14C204-BA.vbf, id:207
01-02 15:39:20,508389 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:bbbb.vbf, id:206
01-02 15:39:20,508395 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:aaaaaaaa.vbf, id:205
01-02 15:39:20,508400 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:6608035620B.vbf, id:204
01-02 15:39:20,508405 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:yaffs2_le.img, id:203
01-02 15:39:20,508411 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:yaffs2_be.img, id:202
01-02 15:39:20,508416 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:xfs.img.xz, id:201
01-02 15:39:20,508422 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:xerox.ps, id:200
01-02 15:39:20,508427 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:wr.fw, id:199
01-02 15:39:20,508432 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:update_stream.bin, id:198
01-02 15:39:20,508438 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:UEFI.CAP, id:197
01-02 15:39:20,508443 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:udf.img.xz, id:196
01-02 15:39:20,508449 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:uboot.image_with_header, id:195
01-02 15:39:20,508454 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:uboot.dtb, id:194
01-02 15:39:20,508459 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:ubi.img, id:193
01-02 15:39:20,508465 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:trx.img, id:192
01-02 15:39:20,508470 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test_rsrc, id:191
01-02 15:39:20,508478 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test_pe_sfx, id:190
01-02 15:39:20,508483 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test_password.7z, id:189
01-02 15:39:20,508489 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test_elf_sfx, id:188
01-02 15:39:20,508494 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test_elf_normal, id:187
01-02 15:39:20,508506 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile_rec_len_mismatch.xtek, id:186
01-02 15:39:20,508512 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile_noS0.srec, id:185
01-02 15:39:20,508518 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile_failed_slicing.xtek, id:184
01-02 15:39:20,508523 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile_crc.xtek, id:183
01-02 15:39:20,508529 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile_crc.tek, id:182
01-02 15:39:20,508534 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile.xtek, id:181
01-02 15:39:20,508540 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile.tek, id:180
01-02 15:39:20,508546 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile.srec, id:179
01-02 15:39:20,508551 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile.hex, id:178
01-02 15:39:20,508557 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:testfile.adobe85, id:177
01-02 15:39:20,508562 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.zpaq, id:176
01-02 15:39:20,508568 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.zoo, id:175
01-02 15:39:20,508577 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.zlib, id:174
01-02 15:39:20,508582 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.ubifs, id:173
01-02 15:39:20,508587 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.tpl, id:172
01-02 15:39:20,508593 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.tar.zip, id:171
01-02 15:39:20,508598 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.tar.bz2, id:170
01-02 15:39:20,508604 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.sitx, id:169
01-02 15:39:20,508609 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.ros, id:168
01-02 15:39:20,508615 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.lzo, id:167
01-02 15:39:20,508620 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.fw, id:166
01-02 15:39:20,508625 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.dsk_ext, id:165
01-02 15:39:20,508631 [INFOR] [userlog] 当前:2024-01-02 15:39:19 用户:wwh 删除固件扫描任务:test.dsk1, id:164
01-02 15:39:26,843912 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.dec, id:163
01-02 15:39:26,843929 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.deb, id:162
01-02 15:39:26,843937 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.cab, id:161
01-02 15:39:26,843943 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.arj, id:160
01-02 15:39:26,843948 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.arc, id:159
01-02 15:39:26,843954 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:test.7z, id:158
01-02 15:39:26,843959 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:sqfs.img, id:157
01-02 15:39:26,843964 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:romfs.img, id:156
01-02 15:39:26,843970 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:reiserfs.img.xz, id:155
01-02 15:39:26,843975 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:raw.bin, id:154
01-02 15:39:26,843980 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:objcopy.xtek, id:153
01-02 15:39:26,843986 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:ntfs.img.xz, id:152
01-02 15:39:26,843991 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:nothing.bin, id:151
01-02 15:39:26,843996 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:netgear.trx, id:150
01-02 15:39:26,844002 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:minix.img.xz, id:149
01-02 15:39:26,844007 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:mbr.img.xz, id:148
01-02 15:39:26,844012 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:magic.mgc, id:147
01-02 15:39:26,844018 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:jfs.img.xz, id:146
01-02 15:39:26,844025 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:jffs2_le.img, id:145
01-02 15:39:26,844030 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:jffs2_be.img, id:144
01-02 15:39:26,844035 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:invalid_file, id:143
01-02 15:39:26,844041 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:hp_new_container.pjl, id:142
01-02 15:39:26,844046 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:hp_container.pjl, id:141
01-02 15:39:26,844051 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:hfs.img.xz, id:140
01-02 15:39:26,844057 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fat.img.xz, id:139
01-02 15:39:26,844062 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_zip.zip, id:138
01-02 15:39:26,844067 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_xz.xz, id:137
01-02 15:39:26,844073 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_xz.bin, id:136
01-02 15:39:26,844078 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_tar.tar, id:135
01-02 15:39:26,844085 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_gz.gz, id:134
01-02 15:39:26,844090 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake_7z.7z, id:133
01-02 15:39:26,844096 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:fake.sqfs, id:132
01-02 15:39:26,844101 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:f2fs.img.xz, id:131
01-02 15:39:26,844106 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:ext4.img.xz, id:130
01-02 15:39:26,844112 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:ext3.img.xz, id:129
01-02 15:39:26,844117 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:ext2.img.xz, id:128
01-02 15:39:26,844122 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:encoded.bin, id:127
01-02 15:39:26,844128 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:DLM-First_1MB.DLM, id:125
01-02 15:39:26,844141 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:dji.img, id:124
01-02 15:39:26,844146 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:dh.bin, id:123
01-02 15:39:26,844152 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:desktop.ini, id:122
01-02 15:39:26,844157 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:Default-Portrait@2x_ipad.png.patch, id:121
01-02 15:39:26,844162 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:cramfs.img, id:120
01-02 15:39:26,844168 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_xz, id:119
01-02 15:39:26,844173 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_lzo, id:118
01-02 15:39:26,844178 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_lzma, id:117
01-02 15:39:26,844184 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_lz4, id:116
01-02 15:39:26,844189 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_gzip, id:115
01-02 15:39:26,844194 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:bzImage_bzip2, id:114
01-02 15:39:26,844200 [INFOR] [userlog] 当前:2024-01-02 15:39:25 用户:wwh 删除固件扫描任务:btrfs.img.xz, id:113
01-02 15:39:34,978291 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:bogus_image.bin, id:112
01-02 15:39:34,978312 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:bad_testfile2.srec, id:111
01-02 15:39:34,978322 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:bad_testfile.srec, id:110
01-02 15:39:34,978331 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:ambarella_rom.fs, id:109
01-02 15:39:34,978340 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:additional_data.srec, id:108
01-02 15:39:34,978349 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:远传带电指示器.hex, id:107
01-02 15:39:34,978358 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:M-20140708.hex, id:106
01-02 15:39:34,978367 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:CC2530_Card.hex, id:105
01-02 15:39:34,978376 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:机械特性采集程序, id:104
01-02 15:39:34,978385 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:机械特性采集器.hex, id:103
01-02 15:39:34,978394 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:SCM6JIZHONG.hex, id:102
01-02 15:39:34,978403 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:防爆盒固件-cable_proof_app_V206.hex, id:101
01-02 15:39:34,978412 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:标准数据集中器.hex, id:100
01-02 15:39:34,978421 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:ArresterOnLine.hex, id:99
01-02 15:39:34,978430 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:bileiqi_monitor, id:98
01-02 15:39:34,978439 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:sf6, id:97
01-02 15:39:34,978448 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:shimx64_x86-64_ASLR_DEP_HighentropyVA_ControlFlowGuard.efi, id:75
01-02 15:39:34,978457 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:shimaa64_Aarch64_ASLR_DEP_ControlFlowGuard.efi, id:74
01-02 15:39:34,978465 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:main_x86-64_ASLR_DEP_HighentropyVA.efi, id:73
01-02 15:39:34,978474 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:main_x86-64_all_false.efi, id:72
01-02 15:39:34,978483 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:fbaa64_Aarch64_all_false.efi, id:71
01-02 15:39:34,978492 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Ux_Device_Video.elf, id:70
01-02 15:39:34,978501 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Ux_Device_Video.bin, id:69
01-02 15:39:34,978510 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Fx_MultiAccess.bin, id:68
01-02 15:39:34,978519 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:test.bin, id:67
01-02 15:39:34,978528 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:helloworld.bin, id:66
01-02 15:39:34,978537 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:STM324xG_EVAL.elf, id:65
01-02 15:39:34,978546 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:STM324xG_EVAL.bin, id:64
01-02 15:39:34,978555 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Fx_Dual_Instance.elf, id:62
01-02 15:39:34,978564 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Fx_Dual_Instance.bin, id:61
01-02 15:39:34,978582 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Fx_Dual_Instance.elf, id:60
01-02 15:39:34,978591 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:Fx_Dual_Instance.bin, id:59
01-02 15:39:34,978600 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:华为路由器 .bin, id:58
01-02 15:39:34,978609 [INFOR] [userlog] 当前:2024-01-02 15:39:34 用户:wwh 删除固件扫描任务:WJ-HD300A_3.13.zip, id:57
